"Original","New"
"time","time"
"Pelvis Accel Sensor X (mG)","L Accel Sensor X (mG)"
"Pelvis Accel Sensor Y (mG)","L Accel Sensor Y (mG)"
"Pelvis Accel Sensor Z (mG)","L Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-z (deg/s)"
"Lower spine Accel Sensor X (mG)","T Accel Sensor X (mG)"
"Lower spine Accel Sensor Y (mG)","T Accel Sensor Y (mG)"
"Lower spine Accel Sensor Z (mG)","T Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-z (deg/s)"
"Upper spine Accel Sensor X (mG)","Scapular LT Accel Sensor X (mG)"
"Upper spine Accel Sensor Y (mG)","Scapular LT Accel Sensor Y (mG)"
"Upper spine Accel Sensor Z (mG)","Scapular LT Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-z (deg/s)"
"Head Accel Sensor X (mG)","Scapular RT Accel Sensor X (mG)"
"Head Accel Sensor Y (mG)","Scapular RT Accel Sensor Y (mG)"
"Head Accel Sensor Z (mG)","Scapular RT Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Foot LT-Contact","Noraxon MyoMotion-Segments-Foot LT-Contact"
"Noraxon MyoMotion-Segments-Foot RT-Contact","Noraxon MyoMotion-Segments-Foot RT-Contact"
